D00186,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
ZINC59112130,COC1=C(C=C(C(=C1)C2=C3C(=CNC3=NC(=N2)SCC(=O)NCCF)C#N)Cl)OC
ZINC40395815,COC1=C(C=C2C(N(CCC2=C1)S(=O)(=O)N)C3=CC=C(C=C3)[N+](=O)[O-])OC
D00303,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ZINC72178389,C1CC(N(C1)C(=O)C(CCC(=O)N2CCNCC2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
DCE,C(CCl)Cl
D01364,CC1=CC(=O)N(C(=C1)C2CCCCC2)O.C(CO)N
ZINC29046299,COC1=CC=C(C=C1)C2CC2N
D02356,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
ZINC13776898,CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NCC3=CC=CC=C3
ZINC14975893,CC1=CC(=O)NC(=O)N1C2C(C(C(O2)COP(=O)(O)O)O)O
ZINC29338968,CN1CCCC(=CC2=CC=CC=C2)C1
ZINC29310827,CC1CC(N2C3=C(C=C(C=C13)Br)NC(=O)C2=O)CC(=O)O
ZINC95598106,CN(C)C(=O)CCC(CC(C(=O)O)N)C(=O)O
ZINC62225370,CC(C)CCSS(=O)CCC(C)C
ZINC95557519,CN1C=CC=C1S(=O)(=O)CC2=CC=CC=C2[N+](=O)[O-]
D00607,C1CCC2(CC1)OCC(O2)CN=C(N)N.C1CCC2(CC1)OCC(O2)CN=C(N)N.OS(=O)(=O)O
ZINC64527862,CC1=C(C=C(N1C2=CC=C(C=C2)S(=O)(=O)N)C3=CC4=CC=CC=C4C=C3)C(=O)NCCCN(C)C
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ZINC13776885,CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC3CCCC3
ZINC14946437,C1=CC=C(C=C1)CC2C(C(C(N(C(=O)N2CC3=CC(=CC=C3)N)CC4=CC5=CC=CC=C5C=C4)CC6=CC=CC=C6)O)O
ZINC14980165,CN(CCCCC1=CC=CC=C1)CC(C2=NC=C(O2)C3=CC=CC=N3)O
ZINC29216927,CCCCCCNC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CC(C)C)CC(=O)NO
ZINC06486999,CC(C)C1C2=C(CCN1)C=CC(=C2)NC(=O)C3=CC4=C(C=C3)C=C(C=C4)C(=N)N
D01767,CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3
ZINC27105146,CCC(C(=O)C(=O)N(CC)CC1=CC=CC=C1)NC(=O)C(CC(C)C)NC(=O)OCC2=CC=CC=C2
D02338,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
SIA,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O
ZINC00157749,CC1=CC(=O)OC(=C1)C
ZINC28977283,C[N+](C)(C)CCOC(=O)NC1=CC(=NC=C1)Cl
ZINC03938688,C1=CC(=C(C(=C1)F)C(=O)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F
ZINC04693374,C1=CSC(=C1)C2=NNC(=C2)C(F)(F)F
ZINC43079475,COC(=O)C1=C2C(=CC=C1)N(C(=O)C2=NO)CC3=C4C(=CC(=C3)F)COCO4
ZINC44306249,CC(C)(C)OC(=O)N(CC1=CC=CC=C1)C2=NC(=NC(=C2)CCC3=CC=CC4=CC=CC=C43)NCC5=CC=CC6=CC=CC=C65
D00410,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2
ZINC13645923,CN1C=CC=C1C(=O)C(C2=CC=CC=C2)N3CCSCC3
D01977,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
D00160,C(CCC(=O)O)CCN
D00052,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
4U7,[B-](CCCCC(C(F)F)(C(=O)O)N)(O)(O)O
D02110,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)[O-].O.O.O.[Na+]
ZINC03964325,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C
ZINC06745792,CC1(C(=O)NC2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)C
D02173,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O.Br
ZINC27410601,CCC(C(=O)C(=O)NCCC1=CC=CC=N1)NC(=O)C(CC(C)C)NC(=O)OCC2=CC=CC=C2
ZINC06385085,CCN1C(C(C(C(N(C1=O)CC)CC2=CC=CC=C2)O)O)CC3=CC=CC=C3
D00542,C(C(F)(F)F)(Cl)Br
ZINC13528882,C1=CC(=CC(=C1)S(=O)(=O)NS(=O)(=O)N)C(=O)O
ZINC73198745,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CNC3=NN=NN3C4=CC(=C(C=C4)Cl)C(F)(F)F)O
ZINC96126632,C1COCCN1CC(=O)NCCCCCN2C(C(C(C(N(C2=O)CCCCCNC(=O)CN3CCOCC3)CC4=CC=CC=C4)O)O)CC5=CC=CC=C5
ZINC13520237,CC(C)(C)C1=CC=C(C=C1)OS(=O)(=O)N
ZINC00801358,CC1=CC=C(C=C1)S(=O)(=O)N2CCCC2C(=O)NCCC3=CC=CC=C3
D00618,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
D00131,CCN(CC)C(=S)SSC(=S)N(CC)CC
ZINC02123545,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O
ZINC13556339,C1=CC(=C(C(=C1CN)F)O)F
ZINC03814434,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC
D00283,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
ZINC68206233,CC1=CC(=CC2=C(C3=C(NN=C3N=C12)C)NC4CCNCC4)OC
ZINC14971673,C1CCC(CC1)CC(CC(=O)N2CCOCC2)C(=O)NCCNC3=CC=C(C=C3)OC(F)(F)F
ZINC40548173,CCCC1C(CCCN1C(=O)C2=C(C=CN=C2)C(F)(F)F)(C(=O)N3CCC(CC3)OC4=NC=NC=C4)OC5=CC=C(C=C5)C(F)(F)F
ZINC95595375,CN(C1=C(C=CC=N1)CNC2=C3C=C(NC3=NC=C2C#N)C4CCCCC4)S(=O)(=O)C
D00160,C(CCC(=O)O)CCN
D00394,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C
ZINC26566543,CC(C(=O)O)NC(=O)C(=O)C1=CNC2=C1C=C(C=C2)[N+](=O)[O-]
ZINC21290022,C1CN(C(C2=C1C3=CC=CC=C3N2)C4=CC5=C(C=C4)OCC5)C6=NC=C(C=C6)C7=CC=CC=N7
ZINC03782484,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)CO
D02485,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl
ZINC14971370,CC1=CC=CC(=C1)C(=O)NC(CC2=CC3=CC=CC=C3C=C2)C(=O)NCCNC4=CC=C(C=C4)OC
D01111,CC(C)C1CCC(CC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O
ZINC40422298,CC1=CC=C(C=C1)C(=O)OC2C(C(OC(C2O)OC)CO)O
ZINC28645005,C1CCN(C(C1)C(=O)NCCCC2=CC=CC=C2)S(=O)(=O)C3=CC=CC=C3
D00139,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
ZINC19418329,C1=CC=C(C=C1)CP(=O)(O)O
ZINC34718125,C1(=NN=C(S1)S(=O)(=O)N)NC(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
BET,C[N+](C)(C)CC(=O)O
ZINC66104455,CC(C)CC(C(=O)NCC#N)NC(=O)C1=CC=C(C=C1)C2=NOC(=N2)C3=CC=CS3
ZINC14958123,C1C(C(C(C(O1)OCC2=CN(N=N2)C3=CC=C(C=C3)S(=O)(=O)N)O)O)O
ZINC28397123,COC1=C(C=C(C=C1)Cl)C(=O)NC2CC3=C(C2)C=C(C=C3)S(=O)(=O)N
ZINC22222987,C1=CC=C(C=C1)COC2=CC3=C(C=C2)NC(=O)C3=O
ZINC03875881,C1C(C(OC1N2C=C(C(=O)NC2=O)F)COP(=O)(O)O)O
ZINC40894634,C1CCC(C1)(C(=O)NC(CC2=CC=CC=C2)C=O)NC(=O)CCC3=CC=CC=C3
ZINC42835651,CC(C)(C#CCOC1=C(C=CC(=C1)COC2=CC=C(C=C2)C(F)(F)F)SC3=C4CCCCC4=C(C=C3)OCC(=O)O)O
ZINC14951966,CC(C(=O)NC1=NC(=C(S1)C2=CC=CC=C2)C3=CC=C(C=C3)Br)N
ZINC96258540,CC1=CC=C(C=C1)NS(=O)(=O)C(CC2=CC=C(C=C2)NC(=O)C(=O)O)C3=NC4=CC=CC=C4O3
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ZINC29220564,CCC1=CC=CC=C1NC(=O)N2CCCC2C(=O)NCCC3=CC=CC=C3
ZINC89455029,C(CCNC(=O)CCC(=O)O)CC(=O)O
ZINC00388462,C1=CC=C(C=C1)CC(=O)O
ZINC06241125,C1=CC=C(C=C1)NC(=O)NCC2=CC=C(C=C2)S(=O)(=O)N
ZINC79553016,C[N+]1=CC=NN1C2=CC=CC=C2
ZINC36287368,C1C(N(CS1)S(=O)(=O)C2=CC=C(C=C2)I)C(=O)NC(CC3=CC=CC=C3)C=O
ZINC13531587,C1C(C(C=CC1(C(=O)O)OCC2=CC=C(C=C2)[N+](=O)[O-])O)O
ZINC12862356,CC1CN(CC(O1)C)C(=O)CSC2=CC=CC=C2
ZINC02018558,C(C(C(=O)O)Cl)C(=O)O
ZINC14960788,CC(C)(C(=O)O)NS(=O)(=O)C1=CC2=C(C=C1)C(=CN=C2N=C(N)N)Cl
D00097,C1=CC=C(C(=C1)C(=O)O)O
ZINC66157388,CC(C)CC(C(=O)N(C)N(C)C#N)NC(=O)C1=CC=C(C=C1)C2=NOC(=N2)C3=CC=CS3
ZINC44306243,C1C(C2=C(C=C(C=C2)O)OC1C3=CC=C(C=C3)O)C4=C(C=C(C(=C4O)C(=O)CCCCCCCCC5=CC=CC=C5)O)O
ZINC14968907,CC1=CC(=C(C=C1C2(C3=C(C=CC4=CC=CC=C43)C(=O)O2)C5=CC(=C(C=C5C)O)C(C)C)C(C)C)O
ZINC00602803,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)C=CCN(C)C
ZINC28711558,C1CN(CCC1NC2=CC=CC(=C2)C3=C(C(=C(S3)C(=O)O)OCC(=O)O)Br)S(=O)(=O)CC4=CC=CC=C4N
D00548,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2
ZINC34801759,CCCCCCCCC(CC(=O)NO)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC
ZINC29323993,CC(CCC(=O)OCCC1=CC=C(C=C1)S(=O)(=O)N)C2CCC3C2(CCC4C3C(CC5C4(CCC(C5)O)C)O)C
ZINC03937998,CCS(=O)(=O)C1=CC=C(C=C1)C2=C(C3=C(C=C2)C=C(C=C3)O)OC4=CC=C(C=C4)OCCN5CCCCC5
D00538,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
ZINC13525803,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)CN
ZINC49722860,CCC(C)C(C(=O)O)NC(=O)C1CCCN1C(=O)C(C(C)C)NC(=O)C(CC(=O)N)NC(=O)C(CCSC)N
ZINC49088576,C1CC2C(CCC(C1O2)O[N+](=O)[O-])Br
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
D00196,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C
ZINC13604427,CC(C)CCN1C(C(C(C(N(C1=O)CCC(C)C)CC2=CC=CC=C2)O)O)CC3=CC=CC=C3
ZINC13525778,CC1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)N)O
D00960,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
ZINC45390851,CC(C#N)N(C)C(=O)C(CC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2
D00294,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
ZINC01530620,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C
D00252,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
ZINC95562699,C1=CC=C(C(=C1)S(=O)(=O)NC(=O)CN2C=CC(=O)C(=C2)S(=O)(=O)N)Cl
D00519,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
ZINC52777973,CCN(CC)C1=CC(=O)C(=C2NC3=C(N2)C=C(C=C3)C(=N)N)C=C1
ZINC40936214,C1CN(CC1NC2CNCC2CC3=NC(=CC=C3)N)CC4=CC=CC=C4
ZINC13681343,COC1=CC(=C2C3C4CCCC(N4C(=O)C(=O)C5=C(C(=CC=C5)Cl)Cl)C(=O)N3CCC2=C1)OC
D00524,C[N+](C)(C)CCOC(=O)N.[Cl-]
D04023,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)C#C)OCCOC.Cl
ZINC26750418,C1=CC(=CC(=C1)N)CN2C=CC3=C2C=CC(=C3)C(=N)N
ZINC02508153,CC1=CC2=C(C=C1)NC(=C2)C(=O)O
ZINC71296265,C1CCC(C1)COCCCCCCCCCCNC(=O)C2(CC2)C(=N)N
ZINC95921105,CC1=CC(=NC(=C1)N)COC2=CC(=CC=C2)OCC3CCNCC3
ZINC28711351,C1C(C1S(=O)(=O)O)C(C(=O)O)N
ZINC66122805,CC(C)C(C(=O)O)NC(=O)C(C)NC(=O)C(C(C)O)NC(=O)C(CCC(=O)O)NCCCC1=CC2=CC=CC=C2C=C1
ZINC32299693,CC1=C(C(=O)CCC1)O
ZINC27301685,C#CCN=C(N)NCCCC(C(=O)O)N
ZINC03869685,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
D02017,CN1C(=C2C(=NC=N2)N(C1=O)C)[O-].C[N+](C)(C)CCO
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ZINC96284705,CC1=CC(=NC(=C1)N)COCC(C(C)OCC2=NC(=CC(=C2)C)N)N
PAF,CC(C)(CO)C(C(=O)[O-])O
ZINC13488111,CC1(OC2C(O1)C(OC3C2OC(O3)(C)C)C(=O)NNS(=O)(=O)N)C
GAL,C(C1C(C(C(C(O1)O)O)O)O)O
D00225,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
VIB,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
ZINC62225367,C1CCC(CC1)SS(=O)C2CCCCC2
D00043,CC(C)OP(=O)(OC(C)C)F
D00656,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
ZINC13835653,C1=CC(=CC=C1NC(=S)NCCCC(=O)O)S(=O)(=O)N
D00607,C1CCC2(CC1)OCC(O2)CN=C(N)N.C1CCC2(CC1)OCC(O2)CN=C(N)N.OS(=O)(=O)O
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
D00329,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F
D00996,CNCC(C1=CC(=C(C=C1)O)O)O.Cl
D00647,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C
D00132,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O
ZINC84757918,COC1=C(C=C2C(NCCC2=C1)C3=CC=C(C=C3)S(=O)(=O)N)OC
ZINC28393780,CN(C)CCNC(=S)NC1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(S2)S(=O)(=O)N
D00160,C(CCC(=O)O)CCN
ZINC00598852,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC
ZINC13745053,C1C2CC3CC1CC(C2)(C3)C4=C(C=CC(=C4)C5=CC6=C(C=C5)C=C(C=C6)C(=O)O)C(CO)O
ZINC26996671,CC1CC(=CC(C(=O)OCCCOC(=O)C2CCCCN2C(=O)C(=O)C(CCCOC1=O)(C)C)CC=C)C
ZINC13642360,C1CN(C(C(N1)C(=O)O)C(=O)O)C(=O)C=CC2=CC3=CC=CC=C3C=C2
D04048,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.O.Cl
ZINC26501000,CC(C(=O)O)NC(=O)C(=O)C1=CNC2=C1C=C(C=C2)Br
D00642,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.C(C(C(C(C(C(=O)O)O)O)O)O)O
ZINC14971409,COC1=CC=C(C=C1)NCCNC(=O)C(CC2CCCCC2)NC(=O)C3=CC(=CC=C3)OC4=CC=CC=C4
ZINC01217831,CC(=O)OC1=CC=C(C=C1)C(=O)N2C3=CC=CC=C3SC4=CC=CC=C42
ZINC12505625,CNC1CCC2=CC=CC=C12
ZINC14979980,C1=CC=C(C(=C1)C#CCCCCC(=O)C2=NC=C(O2)C3=CC=CC=N3)[N+](=O)[O-]
ZINC13436569,C1=CC=NC(=C1)C=CC2=CC(=CN=C2N=C(N)N)Cl
ZINC10450218,C1=CC=C(C(=C1)CN(CC(=O)NO)S(=O)(=O)C2=C(C(=C(C(=C2F)F)F)F)F)[N+](=O)[O-]
D01133,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC
ZINC64736959,CC(C)C(C(=O)NC(C(C)C)C(=O)NC1=CC=CC2=CC=CC=C21)NC(=O)C(C)NC
5HU,C1C(C(OC1N2C=C(C(=O)NC2=O)CO)COP(=O)(O)O)O
D00965,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C
D00775,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N
D00691,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
D00451,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C
ZINC28388422,C1=CC(=CC=C1NC(=S)NNC2=C(C(=C(C(=C2F)F)F)F)F)S(=O)(=O)NC3=NN=C(S3)S(=O)(=O)N
ZINC13798111,CCC1=C(C=CC(=C1)NC2=CC(=O)NC(=O)N2)C
ZINC03916214,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C
ZINC27559037,COC1=CC=C(C=C1)CCCCOC(=O)C2CCCCN2C(=O)C(=O)C3=CC(=C(C(=C3)OC)OC)OC
D03879,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O
D01295,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4
ZINC05615681,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC
D01973,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4.Br
ZINC14950275,CS(=O)(=O)N1CCC(CC1)NC2=NC=C(C(=N2)N)C(=O)C3=C(C=CC=C3F)F
ZINC73129644,CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)NC(=C3C4=CC=CC=C4NC3=O)C5=CC=CC=C5
ZINC01542895,CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O
D00294,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
ZINC14960772,CC(C)C(C(=O)O)NS(=O)(=O)C1=CC2=C(C=C1)C(=CN=C2N=C(N)N)Cl
D00964,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
ZINC29038472,CCC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)S
ZINC13782747,CCCCCCC(C(C)(C)C(=O)NC(CC1=CC=CC=C1)C(=O)OCC)NC(=O)C2=CC=C(C=C2)C#N
ZINC73167801,CC1=CC(=CC2=C(C3=C(NN=C3N=C12)C)OC4CCOCC4)OC
D00454,CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C
D00604,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl
D01332,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1.C(=CC(=O)O)C(=O)O
D00332,C1CCC(CC1)(CC(=O)O)CN
MLZ,CNCCCCC(C(=O)O)N
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ZINC13528267,C(CC(=O)O)C(CS)N
ZINC28473324,CC1=CN(C(=O)NC1=O)CC2=CC=C(C=C2)Br
ZINC96142467,CC(=CC1(C(=O)C(=C(S1)O)C(=O)CCCCC2=CC=C(C=C2)C3=CC=CC=C3)C)C=C
ZINC26964009,CCCC(CCC)C(=O)C=CC(C)(C)C(CCC1=CC=CC=C1)OC(=O)C2CCCCN2C(=O)C(=O)C(C)(C)CC
ZINC00897244,CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)O)C
D00465,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
ZINC13766123,C1=NN(C(=O)NC1=O)CC(C(=O)O)N
ZINC34804715,CC(C)(C1=CC(=C(C(=C1)C2=CC(=CC=C2)CNC(=O)C(CC3=CC=CC=C3)O)O)C4=CC5=C(N4)C=CN=C5N)C(=O)O
D00964,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
ZINC13537513,CC(CN(C)C)OC(=O)C1=CC(=CC=C1)S(=O)(=O)NC2=NN=C(S2)S(=O)(=O)N
D00542,C(C(F)(F)F)(Cl)Br
D00351,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
D00141,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
ZINC06379521,CCCCC(C(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C
ZINC00164581,C1=CC(=CC=C1CCO)O
D00300,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
D03218,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4
D00270,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
ZINC96142645,CC(C)CC(C(=O)NC(CCCCN)C(=O)CSCC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2
D00380,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
ZINC35065524,CC(C(=O)NC1CCCCC2CCC(N2C1=O)C(=O)NC(C3=CC=CC=C3)C4=CC=CC=C4)NC
ZINC14972802,C1=CC=C(C=C1)C2=C(NC(=O)NC2=O)NCCN
ZINC03028806,CCOC1=CC=C(C=C1)C(=O)C(=O)C2=CC=C(C=C2)OCC
D04025,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
ZINC12354958,C1CCC(C1)C(=O)NC2=NNC3=NN=C(C=C32)C4=C(C(=CC=C4)F)F
BEZ,C1=CC=C(C=C1)C(=O)O
ZINC34717655,CCCCCCCCC(=O)NCCOC1=CC=C(C=C1)CC2=C(NC(=O)S2)O
D00550,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F
ZINC13835292,C1=CC2=C(C=C1NS(=O)(=O)C(F)(F)F)SC(=N2)S(=O)(=O)N
ZINC01679451,C1=CC(=CC=C1N)S(=O)(=O)NO
D00434,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
D01071,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2
D00550,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F
ZINC03813621,CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCOCC2=CC=CC=C2)CC(=O)NO
ZINC13779018,C(C(C(=O)O)N)N1C(=O)NC(=O)O1
ZINC03826602,C1C(C1C(CC2C3=CC=CC=C3OC4=CC=CC=C24)(C(=O)O)N)C(=O)O
ZINC01996767,CSC(=NCCCC(C(=O)O)N)NN
D02361,CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)N(C)C
D02561,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl
ZINC40379293,CC(C)CCC1=CC(=NC(=N1)S(=O)(=O)CC(C)C)NCC(C)C
ZINC95592957,CC(=O)C1=NN(C(=C(C#N)C(=O)NC2=CC=C(C=C2)S(=O)(=O)N)S1)C3=CC=CC=C3
ZINC01379675,C1CC(N(C1)C(=O)NCC2=CC=CC=C2)C(=O)NCCC3=CC=CC=C3
ZINC72176580,CC1=NC=C(N1CC(C)OC(=O)C=CC2=CC=CC=C2OC)[N+](=O)[O-]
ZINC07260654,CC1CCN(CC1)C(=O)C(CC2=CC=CC(=C2)C(=N)N)NC(=O)OC(C)(C)C
D00371,CN1C2=C(C(=O)N(C1=O)C)NC=N2
ZINC73165701,CC1=CC(=CC2=C(C3=C(NN=C3N=C12)C)N4CCSCC4)OC
D00371,CN1C2=C(C(=O)N(C1=O)C)NC=N2
ZINC13765436,CS(=O)(=O)N1CCN(CC1)C(=O)C(CC2=CC=CC(=C2)C(=N)N)NS(=O)(=O)C3=CC=CC=C3
ZINC13439865,C1CN(C(=O)CN1CC2=CC3=C(N2)C=CC(=C3)Cl)CC4=CC5=C(C=C4)C(=NC=N5)N
ZINC32303438,C1C(ON=C1Br)CNC(=O)C(CC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3
D02614,COC1=C(C=C(C=C1)CCNCC(C2=CC=C(C=C2)O)O)OC
D01133,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC
D03365,CN1CCCC1C2=CN=CC=C2
D04025,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
ZINC34799855,CC1=CC(=C(C=C1Cl)S(=O)(=O)C(C)C(=O)O)S(=O)(=O)N
ZINC28352993,CC1CCN(CC1)CC(=O)NC2=NN=C(S2)S(=O)(=O)N
D01295,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4
ZINC49014369,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)N)NC(=O)CS
D01713,C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N.Cl
D00139,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
